,Los Angeles,San Francisco,San Diego,Las Vegas,Phoenix,Seattle,Denver,Miami,New York,Chicago,Boston,Washington DC
2014-06-01,0.002645526088469685,0.002257561163486743,0.0008278295247152734,0.008200989484161036,0.0007566661120972373,0.0040312756688962725,0.004401686899965673,0.003498381723601618,0.003991013846158076,-0.0029673833389551874,-0.004458304816983283,-0.0016472563684083452
2014-07-01,0.002812901326286532,-0.001929395385004029,1.2143082181115261e-05,0.0031896944475149347,0.00015719990187479382,0.0038658055814111414,0.0034262096761115135,0.0034973458055174156,0.00299699173146184,-0.00395391366320319,-0.00474467316727778,-0.0028141338481952882
2014-08-01,0.0003443148670287943,0.002180324919395682,-0.00027628038053206794,0.00346908710952043,0.001066621848500704,0.00514901761826092,0.00658704365785745,0.0046809471799238445,0.0010014467568784102,0.0012751061253288842,0.001905876959507724,-0.0003123231596079412
2014-09-01,0.0030070939181781053,0.007503529637763684,0.0018767395596832603,0.00489861725529539,0.0013744178902612703,0.004956135939921058,0.006961747632147963,0.008288752267675337,-0.00011856300988022372,0.001755272763779736,0.0039333598690962646,0.0003613585977357836
2014-10-01,0.0077592833415143225,0.013643813604633515,0.004563360883875545,0.003767386161955155,0.001910079953295396,0.008329042712508006,0.01126882186920053,0.007548774026567395,-0.0002727943054054993,0.0024278571077256395,0.004927316803765347,0.003969980103192938
2014-11-01,0.008150477244466714,0.008089061879757775,0.009973778233700159,0.00765150388446556,0.004056856835688238,0.004783320077049957,0.007144163703717954,0.007135247777318554,-0.0009087291517672069,0.0021985297038049634,0.005447829309547236,0.0012346436285828322
2014-12-01,0.0073863135490881415,0.011225718674173102,0.004436921706541197,0.002252196077165536,0.00518491639043428,0.009689582262793595,0.012264095378030637,0.008434903760024426,0.0052765448453109265,0.0007447916555782808,0.0037768410161949095,0.0023579704547227465
2015-01-01,0.0011950590894027613,0.0022616298098052656,0.009085243036398793,0.003959943379991726,0.00430483181796637,0.004523277376019763,0.007558389567035473,0.007930395084548625,0.0032129046623634583,0.007703055791401514,0.009085292000216905,0.0007551052467178465
2015-02-01,0.008924415794306695,0.02417740227662435,0.004208577815429049,0.003248431408519714,0.004929434488776252,0.007613495114061397,0.016409771254895844,0.010037797393188441,0.0041560279012144985,0.006759456058484492,0.0031241459654247627,0.0033961768998604924
2015-03-01,0.005510624531405606,0.014532725627306453,0.006529985365383517,0.007880798687342594,0.00488646073734067,0.0073664325751372495,0.005027253000179588,0.00681382679883713,-0.0009117964850819948,0.004209178054505935,-0.0006010062481053291,0.0012591784318485288
2015-04-01,0.006481828834153935,0.005585436702969515,0.0011803148122433438,0.006466430426284697,0.004475022974896881,0.006080958992051189,0.009389372040733202,0.005530867492806513,0.005372337250238557,-0.002586855923852882,-0.008450061230699468,9.831525612580272e-05
2015-05-01,0.004728216905575566,0.004225478360458723,0.0029464035323139015,0.00781773769834837,0.0040495425779987215,0.003124516267368982,0.004457567833957787,0.0025104404683371495,0.003198530238304187,-0.0026619375771863574,0.006749219285562935,-0.0019042442457994913
2015-06-01,0.0036323302704963645,0.0021687188663719326,-0.0009697614129777765,0.0031237745099075287,0.004672112091255398,0.004506803305275531,0.007435372929034623,0.0019756128314885046,0.0024265267295719983,-0.0029941074555335234,0.007318160004563534,0.002154211891541191
2015-07-01,0.0025525503797036997,0.00541586214277423,0.009378952943535745,0.005809483629070744,0.0042911073745883765,0.004459497034738247,0.005122312645157168,0.0012664004540026141,0.0011264662132091097,-0.002252319856405949,0.007109017574373766,0.0004684203528813047
2015-08-01,0.0025147612981013534,0.005894516175697806,0.005698388831939738,0.002397371396052339,0.004340431898074204,0.009643302514427354,0.010922192728390012,0.00589811322809819,0.0015395392248591655,-0.0007875615793048185,0.004756301955504361,0.001120460239365073
2015-09-01,0.004473926070525547,0.011635305411329844,0.00802636091187292,0.00224554420877765,0.004146838262959918,0.011722142920155054,0.009023693882261874,0.009659839637222722,0.0012294815743654208,0.0016843221574265321,0.003470054757112706,0.0007656958015507254
2015-10-01,0.0054962107630327495,0.01049999338770502,0.0015541498193736292,0.00287014028890642,0.006012754433329048,0.013872386508740453,0.010541395948590937,0.0089414075851737,0.0018438844849242297,0.0031910635932670406,0.006547723622081003,0.0010529794446387797
2015-11-01,0.006386353942489098,0.007758820781111675,0.008778971467100494,0.0034521796637776436,0.005704739786839497,0.012568835234917586,0.006960324719223809,0.00825398383689957,0.0035060115151142046,0.0069021566232836395,0.0012277779779095166,0.0045238481710399014
2015-12-01,0.006595140281917766,0.004552591232988679,0.012684496874193707,0.00819441627230133,0.008973875447052526,0.00926416400550023,0.005187005671672962,-0.00024037070231164304,0.0007888885790587885,0.0037072010743022243,0.003111443433350125,-0.0002739242466356373
2016-01-01,0.007454745169363397,0.003648731304208619,0.006166013640038548,0.004937740955772485,0.001784881926598647,0.009468567616006673,0.006800174618155852,0.004199265361047422,0.00017499373242624294,0.0024857462336882463,0.0005623961613543393,0.003525539108876208
2016-02-01,0.0071469612357655254,0.009345748569649315,-0.0019665470624748993,0.0074354119559341125,0.004236843135049906,0.007840158377466988,0.010178143953054164,0.0039521838804463805,0.001674665296578004,0.0024678491472216457,0.00368390943771435,-0.0030757341141586236
2016-03-01,0.002243785547975996,0.006857403547814167,0.004243913141849687,0.0031693535438834797,0.000994748928080158,0.007287701828382787,0.006131542698648351,0.006764495301373907,0.00260737402631972,0.0062674860872857785,0.005092502900492235,0.0002366319274587081
2016-04-01,0.0022746880613793152,0.0010237818318574732,0.003415430930070684,0.005967206943752856,0.0033667776030124053,0.004821814452238948,0.005713010898047655,0.007251084387569717,0.004280317675433798,0.004870594799804451,0.0039019495219692057,0.0042388056739151025
2016-05-01,0.0014953601759484236,-0.004973822093296221,0.004180403224586682,0.005823144722577833,0.002872239554060574,0.0043721827181466555,0.006059733703321468,0.005246371546049344,0.0008274530968639393,0.0036464847116237653,0.006817996089957701,0.002880392912540053
2016-06-01,0.0032209940556906513,0.00330762242438265,0.0013794328107095133,0.003594665687009835,0.0033510037679727045,0.008839166054069869,0.006219679250894838,0.006427466745857036,0.003245109595320761,-0.0010300445017150661,-0.00024297205646184317,0.0009286200956153401
2016-07-01,0.005232307423328475,0.001989433017429265,0.004063880008808862,0.002773160428817034,0.005103071442794427,0.007742500774988503,0.00786720580127609,0.003244867945839891,0.002703301688596227,-0.0001162043963012227,0.0034060941487787932,0.00011049025194997952
2016-08-01,0.00544998485776893,0.011517631511972937,0.00467248981679802,-0.0001986385541101754,0.003929110650573886,0.01119226218967695,0.006120135077024136,0.005968567481844156,0.0023942876855782558,-0.001761755219063743,0.004391196457856905,0.0023236913548796423
2016-09-01,0.0051749614508405095,0.0017953528040113298,0.004039258875628837,0.007114005111288124,0.005177773699543531,0.010390552597388414,0.008183613575831528,0.004708808809352538,0.00042152064266254285,0.002929572363154609,0.004916103152425633,0.003451978551228141
