,Los Angeles,San Francisco,San Diego,Las Vegas,Phoenix,Seattle,Denver,Miami,New York,Chicago,Boston,Washington DC
1989-01-01,87.473249752018,63.288489841423,71.172723813049,68.782847588069,67.567862361537,,47.46956845569,76.582983197241,84.482418267931,68.329908988505,74.519854100307,86.868957425478
1989-02-01,88.773031689686,64.057740522953,72.762942815842,69.643675349618,67.621024998193,,47.452369289031,76.993996162073,84.265988249707,69.008791673665,75.167315117021,87.802266628933
1989-03-01,91.147471885143,65.561702975651,74.482881700342,70.479598235808,67.923986331763,,47.529437497849,77.175580516431,84.194661618621,70.07448940017,75.554839658379,88.618967947876
1989-04-01,93.012292432264,66.696525836939,75.805259800236,69.997251679935,67.965016446797,,47.465422175972,77.548665456198,83.880870601963,70.654160787311,75.394137513422,89.325237473086
1989-05-01,94.569356609117,67.703283862443,77.050349538929,69.788148150651,68.068567158499,,47.596805997338,77.567304584092,83.494248625313,70.505418547233,75.04304898479,89.777126806029
1989-06-01,95.513464676594,68.784367143576,78.136649148959,71.554146624087,67.695913886388,,47.605390164301,77.80834046888,82.946585279352,70.521771318217,74.515993895516,90.203212837755
1989-07-01,96.252043336757,69.591281163585,79.030233996995,71.771789477372,67.340460473657,,47.503181907147,78.042408857569,82.171286374768,70.328441523671,74.181272975065,90.707731394091
1989-08-01,96.662389331713,70.715737930033,80.09519053579,72.390032034921,66.947644139751,,47.482249288599,78.259921135432,81.93614834383,70.373904706837,73.435156330382,91.365157786709
1989-09-01,97.199709123017,71.591640114021,81.10219655797,72.789639111218,66.822681487568,,47.600660197091,78.250320730112,81.537176077352,70.179456740637,73.010419195563,91.927281744565
1989-10-01,97.879710708064,72.42559090074,82.059979109383,73.461649940195,66.560192291078,,47.896674288044,78.378224437159,81.788161142493,70.061396164745,72.716885259575,92.190256823409
1989-11-01,98.996461922805,73.015228797766,82.709104172802,74.263729119864,66.493720319043,,48.109732188972,78.323958458831,81.550345495022,69.870097308304,72.991134302595,92.382465870594
1989-12-01,99.770236337545,73.394917535224,83.572869701605,74.861579716074,66.501088244971,,48.213369924984,78.722797677161,81.343846806456,69.679116566779,73.000867108029,92.840752653287
1990-01-01,100.471192542084,73.64250639981,84.078260311918,75.558653223393,66.579708053952,58.885274469364,48.239664413022,79.166098223428,81.035003280918,69.355887352758,73.096791055138,93.362854790073
1990-02-01,100.761571664179,73.822604210509,84.737413089852,75.636734400692,66.70474737712,60.961883083283,48.363972992046,79.66911513911,80.982861072749,68.700554103694,72.873304404931,93.664526485478
1990-03-01,100.992837858712,74.595008943752,85.126856958761,76.598430347795,66.639999390122,62.952979796023,48.495972483427,79.534698139609,80.807714425707,68.904077172591,72.192550651226,93.605137871673
1990-04-01,100.990409690348,75.065394671585,85.54542223527,77.265390556896,66.780148738879,65.457155581395,48.520754773326,79.443802154379,80.213069716589,69.475721318635,71.646704569176,93.585533952808
1990-05-01,100.394583324956,75.020094313203,85.737950256044,77.852654092895,66.593508796513,66.55340781613,48.469482739764,79.681575650723,79.553567470686,69.995388098706,70.693405255139,93.112160836965
1990-06-01,100.111046094827,74.588360073491,85.748846699764,78.729670924218,66.601270764563,67.423451408943,48.579998664593,79.857221946048,78.93322447063,70.250853448,69.99001571505,92.633770173456
1990-07-01,99.50556921725,74.048470600153,85.594142202546,79.645367003111,66.395290506509,67.577939577037,48.655078272642,80.033313589206,78.295666051317,70.662210322415,69.355063544342,92.227285191533
1990-08-01,99.046182758374,73.752474923917,85.335202010493,80.575611844545,66.257703212767,67.853113652546,48.673423097832,79.868441523269,77.55018300435,70.57985411821,68.904851733195,91.841703002998
1990-09-01,98.42543958883,73.482384079979,85.222220741618,81.003717906465,65.941575076766,67.511371559756,48.757104014734,79.674455352144,76.67560321577,70.944463269165,68.604140318914,91.431715243863
1990-10-01,98.001446077748,72.906601014228,84.924635780537,81.548638161054,65.808725907122,67.254706904409,48.665677831405,79.438335524112,76.312268991308,70.717546308451,68.084325546424,91.25676104302
1990-11-01,97.113871975364,72.374808079286,84.653962064327,81.376191385483,65.382224193521,66.931755227064,48.753452315321,79.547592872743,75.881827799195,70.963493106575,67.123137622016,91.005988463179
1990-12-01,96.548149711961,71.864584610222,84.032362465679,81.701491776395,65.450435426643,66.77373145202,48.733883278315,79.35179117356,75.616307367539,70.751327708631,66.191689955616,90.936942727443
1991-01-01,95.569014522668,71.935495017898,83.480959694011,81.093951831795,65.280263975656,66.256835200589,48.939665414922,79.023788635788,74.743409131353,70.83917886986,65.310446035637,89.706871111636
1991-02-01,94.704202772726,71.126390495706,82.564157267693,82.056023621869,65.481327385711,65.609302425747,48.981098239316,78.721980176152,74.109524873599,71.098314117877,64.750964880528,89.264610069683
1991-03-01,93.772605852127,70.608208473745,81.597500188302,82.154052786428,64.791035751013,65.131510750407,49.05964807416,78.728000187651,73.579182833191,70.944704744192,64.450874857502,88.211115476607
1991-04-01,93.741727699239,69.909268219997,81.207322878856,82.238534108202,64.63118700516,65.4515686307,49.305171163072,78.741813054702,73.054447275017,71.235726544847,64.033080564764,87.92178151914
1991-05-01,93.909246938354,70.010559087293,81.534367003836,82.348767170296,64.511732849127,65.751311125732,49.551076528459,78.238096012113,73.087625083292,71.395643970048,64.085668262645,88.651272684985
1991-06-01,94.062812305752,70.281337873902,81.886580307851,82.265142891425,64.926693908073,66.070174048999,49.894683086387,78.52127945349,73.457914387464,71.318992408205,64.062780680338,88.93663737249
1991-07-01,94.284567572328,70.657607305599,82.104719118326,83.342387234687,65.318187540854,66.248775116934,50.329776025559,78.6332319141,73.91089357133,71.583216907173,64.012165294134,88.994544983551
1991-08-01,94.258301890952,70.827749155304,81.936632965666,83.639620251366,65.560118965475,66.341337880004,50.509570258443,79.385426856438,74.242967822576,71.791678935147,64.096247252923,88.612423362967
1991-09-01,94.092211560985,70.822434169763,81.661364224228,84.860308473345,65.739003301403,66.407305375154,50.654485411482,79.067008123378,74.386948951975,71.966358151603,64.136217546037,88.487828099574
1991-10-01,93.875060982372,70.712370531997,81.661919902755,82.987172418834,65.719170719173,66.165669897193,50.827988203593,79.099757349693,74.563429989875,72.181066314489,64.106586996393,88.424866179811
1991-11-01,93.470219894743,70.534379608245,81.452928257396,81.583821348016,66.07614995929,66.177256304774,51.043581485137,79.069901347271,74.617136240718,72.372109231549,63.863101419866,88.672204952374
1991-12-01,93.136478276169,70.450289315219,81.335169726732,82.826974527514,66.043468471556,66.083728662113,51.324706423134,78.982072753502,74.768017506565,73.013735091813,63.806676874379,88.471088859354
1992-01-01,92.786925645956,70.395201897459,80.863439340056,83.041795535553,66.037345449531,66.321331647817,51.522702472003,79.025436628434,74.757148544369,73.42500636658,63.559357249922,88.573806947607
1992-02-01,92.571237399173,70.339553394024,80.569120670394,83.499209585777,66.069205422364,66.482695063313,52.28345304495,78.658817060561,74.815591167371,73.718317035757,63.560265390998,88.222298188387
1992-03-01,91.911465094985,70.194740615702,80.69215834154,83.117561687611,66.109310754089,66.812347404339,53.066809672452,78.933361509623,74.955494925488,73.891724711458,63.811482784671,88.642353283669
1992-04-01,91.44047124402,69.685742447234,80.684120644185,83.007116285885,66.089326752363,67.241333033323,53.576005653264,79.167248711238,75.16757144387,73.225758262343,64.40079349479,88.840926541215
